Channel Name,Channel Slug,Channel Description,Channel Category,Section Name,Section Slug,Section Order,Episode Number,Episode Title,Episode Slug,Episode Description,Episode Level,Difficulty Level,File Name,Upload Status,Video URL,Thumbnail URL,Required Tier Level,Is First Episode,Status,Season Number,Tags,Notes
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,Stretching,stretching,2,1,Knee Flossing,knee-flossing,"Essential knee flossing and stretching routine for shooters. Place both hands under your hamstring and point your knee toward the sky when lifting. This warm-up maintains flexibility and prevents injury.",Easy,beginner,31 indi app.mov,Yes,,,2,false,published,1,"stretching,knee-flossing,injury-prevention",Hamstring and knee flexibility routine
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,Explanation,explanation,3,1,Shooting Footwork Explanation,shooting-footwork-explanation,"Detailed explanation of proper footwork for shooting drills. Learn how foot positioning affects your shot accuracy and consistency, understanding the relationship between lower body mechanics and shooting success.",Advanced,intermediate,32 indi app.mov,Yes,,,2,false,published,1,"shooting,footwork,explanation",Footwork mechanics breakdown
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,3,Jumpers Explained,jumpers-explained,"Comprehensive explanation of jump shot form and technique from the same side wing. Understand the key components of a successful shot and how to develop consistency. Pair this with Episode 2 for complete understanding.",Easy,beginner,33 indi app.mov,Yes,,,2,false,published,1,"shooting,jump-shot,explanation",Jump shot technique breakdown
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,4,Dead Leg Jumper,dead-leg-jumper,"Master shooting on the move with dead leg to jumper combinations. Self-toss while running toward the wing, execute a dead leg into squared footwork for a jump shot. Complete 10 made shots, with the final two must be consecutive for advanced progression.",Advanced,intermediate,34 indi app.mov,Yes,,,2,false,published,1,"shooting,on-move,dead-leg",Dead leg to jump shot on the move
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,5,Jumpers,jumpers-short-corner,"Develop consistency with short corner jumpers. Focus on proper form and follow-through from close range. Complete 10 made shots to build confidence and accuracy.",Easy,beginner,35 indi app.mov,Yes,,,2,false,published,1,"shooting,short-corner,close-range",Short corner jumpers
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,6,Jumpers Continued,jumpers-continued,"Continue building consistency with opposite short corner jumpers. Challenge yourself to maintain form while switching sides. Complete 10 made shots to develop ambidextrous shooting ability.",Advanced,intermediate,36 indi app.mov,Yes,,,2,false,published,1,"shooting,short-corner,opposite-side",Opposite short corner jumpers
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,7,Form Shooting,form-shooting,"Build your shooting foundation with form shooting drills close to the basket. Focus on swishes from 5 spots (5 swishes total), then extend a few steps outward as you progress. Perfect your mechanics before moving to longer distances.",Easy,beginner,37 indi app.mov,Yes,,,2,false,published,1,"shooting,form-shooting,close-range",5-spot form shooting with progression
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,Explanation,explanation,3,2,Shooting Drills Explained,shooting-drills-explained,"Learn how to combine shooting drills with conditioning for game-like practice. Understand the importance of shooting while fatigued and how conditioning affects your shooting when it matters most.",Advanced,intermediate,38 indi app.mov,Yes,,,2,false,published,1,"shooting,conditioning,explanation",Shooting drills and conditioning connection
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,8,Bank Shots,bank-shots-opposite-wing,"Take your bank shot game to the next level with opposite wing bank shots. Practice from different angles and develop consistency using the backboard effectively. Complete 10 made shots to build touch and accuracy.",Easy,beginner,39 indi app.mov,Yes,,,2,false,published,1,"shooting,bank-shot,opposite-wing",Opposite wing bank shots
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,Explanation,explanation,3,3,Dead Leg Explained,dead-leg-explained,"Detailed breakdown of the dead leg to jumper move. Learn proper delay when catching, see the floor as you catch, and understand how to square your feet into your shot after executing the dead leg movement.",Easy,beginner,40 indi app.mov,Yes,,,2,false,published,1,"shooting,dead-leg,explanation",Dead leg footwork and timing breakdown
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,9,Form Shooting Explained,form-shooting-explained,"In-depth breakdown of form shooting technique without a rebounder. Understand each component of proper shooting form and how to develop consistency through focused practice.",Easy,beginner,41 indi app.mov,Yes,,,2,false,published,1,"shooting,form-shooting,explanation",Form shooting technique breakdown
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,10,Five Spot Threes,five-spot-threes,"Master three-point shooting from five key spots on the court. This advanced drill builds game confidence and shooting consistency from all three-point positions, developing your ability to score from anywhere beyond the arc.",Pro,advanced,42 indi app2.mov,Yes,,,2,false,published,1,"shooting,three-point,5-spot",Five spot three-point shooting drill
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,11,Arc Drill,arc-drill,"Challenge yourself with the arc drill behind the backboard. Position yourself slightly behind the backboard and complete 5-10 made arcing shots as a warm-up. This drill improves your shooting arc and develops touch from difficult angles.",Easy,beginner,43 indi app2.mov,Yes,,,2,false,published,1,"shooting,arc-drill,backboard",Arc drill behind backboard
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,12,Three Point Form,three-point-form,"Apply proper form shooting principles to three-point range from the middle spot. Alternate sides with face catches, completing 10 made threes (5 per side facing). Learn how to maintain mechanics while extending your range.",Advanced,intermediate,44 indi app2.mov,Yes,,,2,false,published,1,"shooting,three-point,form",Middle spot three-point shooting
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,13,Full Court Threes,full-court-threes,"Build endurance and consistency with full court three-point shooting in transition. Throw the ball off the glass, take it up the floor while surveying the court, and keep the ball in your non-dominant hand before pulling up. This drill combines conditioning with shot making ability.",Pro,advanced,46 indi app2.mov,Yes,,,2,false,published,1,"shooting,three-point,transition",Full court transition threes
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,14,Corner Threes,corner-threes,"Master corner three-point shooting by going from corner to corner. This drill can be timed (2 minutes) or limited to 2 misses only. Focus on conditioning and shot making ability, developing consistency from one of the most important spots on the court.",Pro,advanced,47 indi app2.mov,Yes,,,2,false,published,1,"shooting,three-point,corner",Corner to corner three-point drill
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,15,Wing Threes,wing-threes,"Develop consistent wing three-point shooting by going from wing to wing. Time yourself for 2 minutes or limit to 2 misses only. This drill combines conditioning with shot making ability, building your confidence from the wings.",Pro,advanced,48 indi app2.mov,Yes,,,2,false,published,1,"shooting,three-point,wing",Wing to wing three-point drill
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,16,Bank Shots Speed,bank-shots-speed,"Advanced bank shot practice with wing to wing bank shot jumpers. Focus on touch, timing, and conditioning as you move quickly between spots. This drill develops consistency and game-like shooting under pressure.",Pro,advanced,49 indi app2.mov,Yes,,,2,false,published,1,"shooting,bank-shot,speed",Wing to wing bank shot jumpers
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,Explanation,explanation,3,4,Slot Shooting Explained,slot-shooting-explained,"Master slot three-point shooting with detailed form analysis. Learn about one-two catches and understand how to study your shot while shooting through fatigue. Discover why you might be missing shots and how to correct common mistakes.",Pro,advanced,50 indi app2.mov,Yes,,,2,false,published,1,"shooting,slot-three,explanation",Slot shooting form analysis
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,17,Five In A Row,five-in-a-row,"Build consistency and mental resilience with the five shots in a row challenge. This advanced drill develops the focus and mental toughness needed to make consecutive shots under pressure, preparing you for game situations.",Pro+,expert,51 indi app2.mov,Yes,,,2,false,published,1,"shooting,consistency,mental-toughness",Five consecutive shots challenge
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,Explanation,explanation,3,5,Daily Explanation,daily-explanation,"Reflect on your daily training progress with valuable insights and tips. Learn how to analyze your shooting performance and make adjustments for continuous improvement. This motivational section helps athletes stay focused and motivated.",Easy,beginner,52 indi app2.mov,Yes,,,2,false,published,1,"explanation,motivation,reflection",Daily training reflection and tips
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,1,Two Ball Between & Behind,two-ball-between-behind,"Master two-ball dribbling through the legs and behind the back while on the move. Keep your eyes up and maintain steady focus throughout. Remember that any mistake means taking a step back, so stay patient and don't get frustrated. Complete half court and back OR 10 reps with each hand.",Pro,advanced,53 indi app 4.mp4,No,,,2,true,published,1,"two-ball,advanced,on-move",Through legs and behind back on the move
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,2,Cradle Circus Dribble,cradle-circus-dribble,"Execute double circus cradle with two basketballs, demonstrating elite ball control and coordination. Keep your eyes up throughout the movement and complete 10 reps with each hand to build consistency and confidence.",Pro,advanced,54 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,cradle,circus",Double circus cradle pattern
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,3,Low Dribbles,low-dribbles,"Build serious hand strength with low two-ball dribbles. Keep your eyes up and focus on strong fingertip control. Complete 10 reps to develop the power and control needed for advanced ball handling.",Advanced,intermediate,55 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,low-dribble,hand-strength",Low dribble with fingertip control
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,4,Backboard Warm Up,backboard-warm-up,"Prepare your hands for two-ball work with a double ball toss off the glass. This warm-up drill works on dexterity and hand-eye coordination. Complete 10 reps to activate your hands and get ready for more advanced drills.",Easy,beginner,56 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,warmup,dexterity",Double ball toss off glass
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,5,Double Front Cross,double-front-cross,"Master double front cross with two basketballs, keeping your eyes up throughout. Start with 10 front crosses beginning in each hand, developing the coordination and control needed for advanced combinations.",Advanced,intermediate,57 indi app 4.mp4,No,,,2,false,published,1,"two-ball,front-cross,coordination",Double front cross pattern
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,6,Combo Cut,combo-cut,"Execute single through the legs with two basketballs, maintaining focus and control. Keep your eyes up and complete 10 reps per leg. Step forward when dribbling through the legs to create dynamic movement.",Advanced,intermediate,58 indi app 4.mp4,No,,,2,false,published,1,"two-ball,between-legs,on-move",Single through legs with forward step
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,7,Double Through Legs,double-through-legs,"Master continuous through the legs with both legs using two basketballs. Tap the front ball with the opposite hand as demonstrated in the video. Complete 20 reps total to build advanced coordination and control.",Pro,advanced,59 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,between-legs,continuous",Continuous betweens with both legs
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,8,Low High Dribble,low-high-dribble,"Contrast low and high dribbles with two basketballs, developing dynamic control and hand strength. Use a 10-second count where each double pound equals one second, repeating twice. Keep your eyes up throughout the movement.",Advanced,intermediate,60 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,contrast,low-high",Low to high dribble contrast
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,9,Same Time Dribbling,same-time-dribbling,"Develop elite coordination by dribbling both balls simultaneously with double pounds. Complete 10 reps total, focusing on rhythm and control. This fundamental drill builds the foundation for more advanced two-ball combinations.",Easy,beginner,61 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,simultaneous,double-pound",Simultaneous double pounds
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,10,In And Outs,in-and-outs,"Master two-ball in and outs to build hand independence and control. Keep your eyes up and complete 10 in and outs on each side. This drill develops the coordination needed for advanced ball handling moves.",Easy,beginner,62 indi app 4.mp4,No,,,2,false,published,1,"two-ball,in-out,hand-independence",In and out pattern both sides
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,11,Eggbeater,eggbeater,"Execute the eggbeater drill with two basketballs, demonstrating elite ball handling skills that separate advanced players. Keep your eyes up and complete 10-20 reps to build serious coordination and control.",Pro,advanced,63 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,eggbeater,elite",Eggbeater pattern drill
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,12,Single Behind,single-behind,"Combine front cross and behind cross with two basketballs, focusing on quickness and hand speed. Keep your eyes up throughout and complete 10 reps on each side. This drill develops the speed needed for game situations.",Advanced,intermediate,64 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,front-behind,quickness",Front cross to behind cross
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,13,Single Front Cross,single-front-cross,"Master single front cross with two basketballs, developing fundamental two-ball control. Complete 10 reps on each side, keeping your eyes up throughout the movement. This drill builds the foundation for more advanced combinations.",Easy,beginner,65 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,single-cross,fundamentals",Single front cross pattern
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,14,Alternate Dribbles,alternate-dribbles,"Develop rhythm and control with low alternating two-ball dribbles. Use a 10-second dribble count where one dribble with each hand equals one second. This drill builds the timing and coordination needed for advanced moves.",Easy,beginner,66 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,alternating,rhythm",Low alternating dribbles
